Name;CDS_Id
Total;261
Saint-Gobain;238
Barclays;570
ING Bank;2894
Publicis Groupe;192
ENI;92
Royal & Sun Alliance Group;209
Telekom Austria;1048
Clariant;919
Banca Monte dei Paschi di Siena;564
Solvay;232
Astrazeneca;29
Vodafone Group;278
Munich Re;169
Deutsche Telekom;75
Xstrata;1506
Barclays;2906
Ahold;9
Pernod Ricard;181
Banco Comercial Portugues;556
Intesa San Paolo;587
Banco Santander;2900
Adecco;3
Telenor;252
BAE Systems;52
Degussa;72
Thomson;258
Credit Suisse;922
Wolters Kluwer;281
Safeway;212
Nestle;172
DSG International;78
Glencore;573
Societe Generale;229
Vinci;275
Henkel;126
Valeo;272
Technip;567
Air Liquide;12
Iberdrola;129
Gallaher;106
ING Bank;135
Santander UK;553
GlaxoSmithKline;112
Aegon;6
Tesco;255
Ciba;1025
Bertelsmann;43
BSkyB;55
Suedzucker;241
Societe Generale;2897
Anheuser-Busch;2611
Bouygues;49
Rentokil Initial 1927;198
HSBC Bank;2903
J Sainsbury;213
Kelda Group;144
Banca Popolare;1017
ThyssenKrupp;259
Wendel Investissement;1046
United Business Media;267
Compass Group;67
Sodexho Alliance;230
GKN Holdings;562
Arcelor Finance;27
Altadis;21
Vivendi;276
Ladbrokes;127
Unicredito Italiano;568
Nokia;173
Vattenfall;273
Gas Natural;107
TDC;250
Lufthansa;156
EADS;81
LHR Airports;38
Rolls-Royce;207
UBS;2912
Anglo American;24
Daimler;70
Investor;141
STMicroelectronics;239
HBOS;571
Lloyds TSB Group;2895
E.ON;93
Michelin;164
Allianz;18
Volvo;279
Auchan;30
UPM-Kymmene;270
Royal Bank of Scotland;565
Heineken;124
Energias de Portugal;84
Linde;153
Siemens;227
Commerzbank;559
Sabmiller;1507
Casino;61
Reed Elsevier;196
Bayer;41
ENEL;90
TeliaSonera;253
Credit Suisse;2909
KPN;147
Commerzbank;2901
Tate & Lyle;247
Hannover Re;119
Lanxess;1115
O2;165
Unibail;1161
Rabobank;3082
Next PLC;1138
RWE;211
WPP;282
Portugal Telecom;188
OTE;125
Sanpaolo IMI;574
Allied Domecq;19
Unilever NV;265
Centrica;1015
BNP Paribas;1052
Bayerische Landesbank;3122
National Grid Elec;171
Deutsche Bahn;73
Stagecoach Group;566
Arcelor Mittal;25
Mediobanca - Banca di Credito Finanziario;2927
Orange;105
Pearson;179
Deutsche Bank;560
SIX Continents;228
Electrolux;85
Akzo Nobel;13
BBVA;554
Suez;242
BNP Paribas;2910
Repsol-YPF;199
Royal Bank of Scotland;2904
Lafarge;148
Zurich Insurance;285
PostNL;262
Experian Finance;116
ITV PLC;1118
Credit Agricole;1141
Metro;162
Philips;185
Gecina;1095
United Utilities;268
HSBC Bank;563
Danske Bank;2924
Holcim;128
Diageo;76
Sanofi-Aventis;909
Scottish Power UK;222
Carlton Communications;59
Veolia Environnement;274
Unicredit;557
GDF Suez;108
SES Global;225
Svenska Handelsbanken;2930
EDF;82
Telefonica;251
Standard Chartered Bank;2907
BASF;39
Endesa;88
Marks & Spencer;159
Japan Tobacco;1370
Brisa;2615
BP;586
BMW;45
Kingfisher;145
Accor;2
Swiss Re;245
Alliance Boots;48
Danone;71
Ericsson;94
Stora Enso;240
Banco Espirito Santo;572
Kering;186
Volkswagen;280
UBS;1345
Atlantia;31
Carrefour;60
Capitalia;558
Edison;83
Lloyds TSB Group;154
Intesa San Paolo;2908
Imperial Tobacco;134
Aviva;34
British American Tobacco;40
Peugeot SA;183
Generali;111
BT Group;54
EnBW;91
Fortum;103
Finmeccanica;97
Renault;197
Deutsche Bank;2902
ISS International;143
Hanson;120
ABN Amro;569
Statoil;237
Swedish Match;1162
Standard Chartered Bank;575
Carlsberg;1903
Union Fenosa;266
Alstom;20
Continental;68
The Nielsen Company;277
DSM;80
Rentokil Initial;1408
Dresdner Bank;561
Deutsche Post;74
ICI;131
Telecom Italia;249
Unicredito Italiano;2905
Royal Dutch Shell;2576
Cadbury Schweppes;57
Banco Santander;555
LVMH;157
AXA;37
Svenska Cellulosa;243
BBVA;2899
Credit Agricole;2911
Thomson Reuters;200
